Author 1, Author 2, P(1->2), P(2->1),P(1->2)*P(2->1),(P(1->2)+P(2->1))/2, (P(1->2)^2+P(2->1)^2)/2, Encode 1, Encode 2
Ariovistvs ,aaaaaaaaaaaaaaaasssssssssssssdddddddddd ,0.04105914743003366,0.03455822322607371,0.0014189311823593737,0.03780868532805368,0.0014400621901121899,0 ,24
Ariovistvs ,alpinist ,0.01808892147641653,0.017008875419769604,0.0003076722118703636,0.017548898448093066,0.00030825546161260286,0 ,25
Ariovistvs ,cedebe ,0.01660296484054776,0.03166246470122157,0.0005256907881994663,0.024132714770884665,0.0006390850562262836,0 ,26
Ariovistvs ,deep_franz ,0.025436527432566764,0.053338743671288005,0.0013567524166133642,0.03938763555192738,0.001746019252129544,0 ,27
Ariovistvs ,diespdisttot ,0.017604720591603104,0.02247948270067372,0.0003957450119891364,0.020042101646138413,0.00040762666479915167,0 ,28
Ariovistvs ,eagle58 ,0.016237268030716227,0.02494523891205031,0.0004050425303052129,0.02059125347138327,0.00044295690874029405,0 ,29
Ariovistvs ,globallynaive ,0.017061249896176293,0.02822403572241237,0.00048153732653868404,0.02264264280929433,0.0005438412202398926,0 ,30
Ariovistvs ,gottwuerfeltnicht ,0.016220710177358304,0.020218110106703803,0.0003279521043747612,0.018219410142031052,0.0003359417074723269,0 ,31
Ariovistvs ,knowwhereman ,0.01649482411338022,0.02848927041535205,0.0004699255046197587,0.022492047264366134,0.0005418588756652016,0 ,32
Ariovistvs ,margherita ,0.04608141440800102,0.028135201877957122,0.0012965098971909107,0.03710830814297907,0.001457543169277663,0 ,33
Ariovistvs ,no-panic ,0.011137645845421632,0.015877241076659308,0.0001768350881142122,0.01350744346104047,0.00018806696959219768,0 ,34
Ariovistvs ,rock_lobster ,0.011037960323811947,0.021307646290393095,0.0002351929543471778,0.01617280330710252,0.0002879261792732747,0 ,35
Ariovistvs ,slocum ,0.01431653688354835,0.020979161858528068,0.0003003489445335478,0.017647849371038207,0.00032254423031215956,0 ,36
Ariovistvs ,sonnenkatze ,0.019256702636228328,0.0214673503173961,0.0004133903814498385,0.020362026476812213,0.0004158338630349647,0 ,37
Ariovistvs ,too late ,0.01132035811150179,0.015379387238234817,0.0001741001710722786,0.013349872674868302,0.00018233802979811215,0 ,38
Ariovistvs ,whitemouse ,0.03959294835669642,0.02692233389452828,0.0010659345755277957,0.03325764112561235,0.001146206810952248,0 ,39
Ariovistvs ,whitemouse-neu ,0.011605647759173152,0.012912095895715832,0.00014985323679834328,0.012258871827444492,0.00015070664016508123,0 ,40
Ariovistvs ,zelebration ,0.04284381354477183,0.021980683462336174,0.0009417363038469808,0.032412248503554,0.0011593714022652968,0 ,41
Bleiben Sie sachlich ,CETAoderGoodByeGermany ,0.030211802829577753,0.029706319469594938,0.000897481466607849,0.029959061149586345,0.0008976092233214588,1 ,2
Bleiben Sie sachlich ,Eckard P. ,0.029055107520192077,0.031658711838874296,0.0009198472764292705,0.030356909679533188,0.0009232366541534007,1 ,3
